id,code,p_code,level,name
1,110000,NULL,1,北京
2,110100,110000,2,北京市
3,110101,110100,3,东城区
4,110102,110100,3,西城区
5,110105,110100,3,朝阳区
6,110106,110100,3,丰台区
7,110107,110100,3,石景山区
8,110108,110100,3,海淀区
9,110109,110100,3,门头沟区
10,110111,110100,3,房山区
11,110112,110100,3,通州区
12,110113,110100,3,顺义区
13,110114,110100,3,昌平区
14,110115,110100,3,大兴区
15,110116,110100,3,怀柔区
16,110117,110100,3,平谷区
17,110118,110100,3,密云区
18,110119,110100,3,延庆区
19,120000,NULL,1,天津
20,120100,120000,2,天津市
21,120101,120100,3,和平区
22,120102,120100,3,河东区
23,120103,120100,3,河西区
24,120104,120100,3,南开区
25,120105,120100,3,河北区
26,120106,120100,3,红桥区
27,120110,120100,3,东丽区
28,120111,120100,3,西青区
29,120112,120100,3,津南区
30,120113,120100,3,北辰区
31,120114,120100,3,武清区
32,120115,120100,3,宝坻区
33,120116,120100,3,滨海新区
34,120117,120100,3,宁河区
35,120118,120100,3,静海区
36,120119,120100,3,蓟州区
37,130000,NULL,1,河北省
38,130100,130000,2,石家庄市
39,130102,130100,3,长安区
40,130104,130100,3,桥西区
41,130105,130100,3,新华区
42,130107,130100,3,井陉矿区
43,130108,130100,3,裕华区
44,130109,130100,3,藁城区
45,130110,130100,3,鹿泉区
46,130111,130100,3,栾城区
47,130121,130100,3,井陉县
48,130123,130100,3,正定县
49,130125,130100,3,行唐县
50,130126,130100,3,灵寿县
51,130127,130100,3,高邑县
52,130128,130100,3,深泽县
53,130129,130100,3,赞皇县
54,130130,130100,3,无极县
55,130131,130100,3,平山县
56,130132,130100,3,元氏县
57,130133,130100,3,赵县
58,130181,130100,3,辛集市
59,130183,130100,3,晋州市
60,130184,130100,3,新乐市
61,130200,130000,2,唐山市
62,130202,130200,3,路南区
63,130203,130200,3,路北区
64,130204,130200,3,古冶区
65,130205,130200,3,开平区
66,130207,130200,3,丰南区
67,130208,130200,3,丰润区
68,130209,130200,3,曹妃甸区
69,130224,130200,3,滦南县
70,130225,130200,3,乐亭县
71,130227,130200,3,迁西县
72,130229,130200,3,玉田县
73,130281,130200,3,遵化市
74,130283,130200,3,迁安市
75,130284,130200,3,滦州市
76,130300,130000,2,秦皇岛市
77,130302,130300,3,海港区
78,130303,130300,3,山海关区
79,130304,130300,3,北戴河区
80,130306,130300,3,抚宁区
81,130321,130300,3,青龙满族自治县
82,130322,130300,3,昌黎县
83,130324,130300,3,卢龙县
84,130400,130000,2,邯郸市
85,130402,130400,3,邯山区
86,130403,130400,3,丛台区
87,130404,130400,3,复兴区
88,130406,130400,3,峰峰矿区
89,130407,130400,3,肥乡区
90,130408,130400,3,永年区
91,130423,130400,3,临漳县
92,130424,130400,3,成安县
93,130425,130400,3,大名县
94,130426,130400,3,涉县
95,130427,130400,3,磁县
96,130430,130400,3,邱县
97,130431,130400,3,鸡泽县
98,130432,130400,3,广平县
99,130433,130400,3,馆陶县
100,130434,130400,3,魏县
101,130435,130400,3,曲周县
102,130481,130400,3,武安市
103,130500,130000,2,邢台市
104,130502,130500,3,襄都区
105,130503,130500,3,信都区
106,130505,130500,3,任泽区
107,130506,130500,3,南和区
108,130522,130500,3,临城县
109,130523,130500,3,内丘县
110,130524,130500,3,柏乡县
111,130525,130500,3,隆尧县
112,130528,130500,3,宁晋县
113,130529,130500,3,巨鹿县
114,130530,130500,3,新河县
115,130531,130500,3,广宗县
116,130532,130500,3,平乡县
117,130533,130500,3,威县
118,130534,130500,3,清河县
119,130535,130500,3,临西县
120,130581,130500,3,南宫市
121,130582,130500,3,沙河市
122,130600,130000,2,保定市
123,130602,130600,3,竞秀区
124,130606,130600,3,莲池区
